Car_Name,Year,Selling_Price,Present_Price,Kms_Driven
corolla altis,2010,4.75,18.54,50000
etios g,2014,4.1,6.8,39485
fortuner,2014,19.99,35.96,41000
corolla altis,2013,6.95,18.61,40001
etios cross,2015,4.5,7.7,40588
fortuner,2014,18.75,35.96,78000
fortuner,2015,23.5,35.96,47000
fortuner,2017,33,36.23,6000
etios liva,2014,4.75,6.95,45000
innova,2017,19.75,23.15,11000
fortuner,2010,9.25,20.45,59000
corolla altis,2011,4.35,13.74,88000
corolla altis,2016,14.25,20.91,12000
etios liva,2014,3.95,6.76,71000
corolla altis,2011,4.5,12.48,45000
corolla altis,2013,7.45,18.61,56001
etios liva,2011,2.65,5.71,43000
etios cross,2014,4.9,8.93,83000
etios g,2015,3.95,6.8,36000
corolla altis,2013,5.5,14.68,72000
corolla,2004,1.5,12.35,135154
corolla altis,2010,5.25,22.83,80000
fortuner,2012,14.5,30.61,89000
corolla altis,2016,14.73,14.89,23000
etios gd,2015,4.75,7.85,40000
innova,2017,23,25.39,15000
innova,2015,12.5,13.46,38000
innova,2005,3.49,13.46,197176
camry,2006,2.5,23.73,142000
land cruiser,2010,35,92.6,78000
corolla altis,2012,5.9,13.74,56000
etios liva,2013,3.45,6.05,47000
etios g,2014,4.75,6.76,40000
corolla altis,2009,3.8,18.61,62000
innova,2014,11.25,16.09,58242
innova,2005,3.51,13.7,75000
fortuner,2015,23,30.61,40000
corolla altis,2008,4,22.78,89000
corolla altis,2012,5.85,18.61,72000
innova,2016,20.75,25.39,29000
corolla altis,2017,17,18.64,8700
corolla altis,2013,7.05,18.61,45000
fortuner,2010,9.65,20.45,50024
Royal Enfield Thunder 500,2016,1.75,1.9,3000
UM Renegade Mojave,2017,1.7,1.82,1400
KTM RC200,2017,1.65,1.78,4000
Bajaj Dominar 400,2017,1.45,1.6,1200
Royal Enfield Classic 350,2017,1.35,1.47,4100
KTM RC390,2015,1.35,2.37,21700
Hyosung GT250R,2014,1.35,3.45,16500
Royal Enfield Thunder 350,2013,1.25,1.5,15000
Royal Enfield Thunder 350,2016,1.2,1.5,18000
Royal Enfield Classic 350,2017,1.2,1.47,11000
KTM RC200,2016,1.2,1.78,6000
Royal Enfield Thunder 350,2016,1.15,1.5,8700
KTM 390 Duke,2014,1.15,2.4,7000
Mahindra Mojo XT300,2016,1.15,1.4,35000
Royal Enfield Classic 350,2015,1.15,1.47,17000
Royal Enfield Classic 350,2015,1.11,1.47,17500
Royal Enfield Classic 350,2013,1.1,1.47,33000
Royal Enfield Thunder 500,2015,1.1,1.9,14000
Royal Enfield Classic 350,2015,1.1,1.47,26000
Royal Enfield Thunder 500,2013,1.05,1.9,5400
Bajaj Pulsar RS200,2016,1.05,1.26,5700
Royal Enfield Thunder 350,2011,1.05,1.5,6900
Royal Enfield Bullet 350,2016,1.05,1.17,6000
Royal Enfield Classic 350,2013,1,1.47,46500
Royal Enfield Classic 500,2012,0.95,1.75,11500
Royal Enfield Classic 500,2009,0.9,1.75,40000
Bajaj Avenger 220,2017,0.9,0.95,1300
Bajaj Avenger 150,2016,0.75,0.8,7000
Honda CB Hornet 160R,2017,0.8,0.87,3000
Yamaha FZ S V 2.0,2017,0.78,0.84,5000
Honda CB Hornet 160R,2017,0.75,0.87,11000
Yamaha FZ 16,2015,0.75,0.82,18000
Bajaj Avenger 220,2017,0.75,0.95,3500
Bajaj Avenger 220,2016,0.72,0.95,500
TVS Apache RTR 160,2017,0.65,0.81,11800
Bajaj Pulsar 150,2015,0.65,0.74,5000
Honda CBR 150,2014,0.65,1.2,23500
Hero Extreme,2013,0.65,0.787,16000
Honda CB Hornet 160R,2016,0.6,0.87,15000
Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600
Honda CBR 150,2013,0.6,1.2,32000
Bajaj Avenger 150 street,2016,0.6,0.8,20000
Yamaha FZ  v 2.0,2015,0.6,0.84,29000
Yamaha FZ  v 2.0,2016,0.6,0.84,25000
Bajaj Pulsar  NS 200,2014,0.6,0.99,25000
TVS Apache RTR 160,2012,0.6,0.81,19000
Hero Extreme,2014,0.55,0.787,15000
Yamaha FZ S V 2.0,2015,0.55,0.84,58000
Bajaj Pulsar 220 F,2010,0.52,0.94,45000
Bajaj Pulsar 220 F,2016,0.51,0.94,24000
TVS Apache RTR 180,2011,0.5,0.826,6000
Hero Passion X pro,2016,0.5,0.55,31000
Bajaj Pulsar NS 200,2012,0.5,0.99,13000
Bajaj Pulsar NS 200,2013,0.5,0.99,45000
Yamaha Fazer,2014,0.5,0.88,8000
Honda Activa 4G,2017,0.48,0.51,4300
TVS Sport,2017,0.48,0.52,15000
Yamaha FZ S V 2.0,2015,0.48,0.84,23000
Honda Dream Yuga,2017,0.48,0.54,8600
Honda Activa 4G,2017,0.45,0.51,4000
Bajaj Avenger Street 220,2011,0.45,0.95,24000
TVS Apache RTR 180,2014,0.45,0.826,23000
Bajaj Pulsar NS 200,2012,0.45,0.99,14500
Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000
Hero Splender iSmart,2016,0.45,0.54,14000
Activa 3g,2016,0.45,0.54,500
Hero Passion Pro,2016,0.45,0.55,1000
TVS Apache RTR 160,2014,0.42,0.81,42000
Honda CB Trigger,2013,0.42,0.73,12000
Hero Splender iSmart,2015,0.4,0.54,14000
Yamaha FZ S,2012,0.4,0.83,5500
Hero Passion Pro,2015,0.4,0.55,6700
Bajaj Pulsar 135 LS,2014,0.4,0.64,13700
Activa 4g,2017,0.4,0.51,1300
Honda CB Unicorn,2015,0.38,0.72,38600
Hero Honda CBZ extreme,2011,0.38,0.787,75000
Honda Karizma,2011,0.35,1.05,30000
Honda Activa 125,2016,0.35,0.57,24000
TVS Jupyter,2014,0.35,0.52,19000
Honda Karizma,2010,0.31,1.05,213000
Hero Honda Passion Pro,2012,0.3,0.51,60000
Hero Splender Plus,2016,0.3,0.48,50000
Honda CB Shine,2013,0.3,0.58,30000
Bajaj Discover 100,2013,0.27,0.47,21000
Bajaj Pulsar 150,2008,0.25,0.75,26000
Suzuki Access 125,2008,0.25,0.58,1900
TVS Wego,2010,0.25,0.52,22000
Honda CB twister,2013,0.25,0.51,32000
Hero Glamour,2013,0.25,0.57,18000
Hero Super Splendor,2005,0.2,0.57,55000
Bajaj Pulsar 150,2008,0.2,0.75,60000
Bajaj Discover 125,2012,0.2,0.57,25000
Hero Hunk,2007,0.2,0.75,49000
Hero  Ignitor Disc,2013,0.2,0.65,24000
Hero  CBZ Xtreme,2008,0.2,0.787,50000
Bajaj  ct 100,2015,0.18,0.32,35000
Activa 3g,2008,0.17,0.52,500000
Honda CB twister,2010,0.16,0.51,33000
Bajaj Discover 125,2011,0.15,0.57,35000
Honda CB Shine,2007,0.12,0.58,53000
Bajaj Pulsar 150,2006,0.1,0.75,92233
i20,2010,3.25,6.79,58000
grand i10,2015,4.4,5.7,28200
i10,2011,2.95,4.6,53460
eon,2015,2.75,4.43,28282
grand i10,2016,5.25,5.7,3493
xcent,2017,5.75,7.13,12479
grand i10,2015,5.15,5.7,34797
i20,2017,7.9,8.1,3435
grand i10,2015,4.85,5.7,21125
i10,2012,3.1,4.6,35775
elantra,2015,11.75,14.79,43535
creta,2016,11.25,13.6,22671
i20,2011,2.9,6.79,31604
grand i10,2017,5.25,5.7,20114
verna,2012,4.5,9.4,36100
eon,2016,2.9,4.43,12500
eon,2016,3.15,4.43,15000
verna,2014,6.45,9.4,45078
verna,2012,4.5,9.4,36000
eon,2017,3.5,4.43,38488
i20,2013,4.5,6.79,32000
i20,2014,6,7.6,77632
verna,2015,8.25,9.4,61381
verna,2013,5.11,9.4,36198
i10,2011,2.7,4.6,22517
grand i10,2015,5.25,5.7,24678
i10,2011,2.55,4.43,57000
verna,2012,4.95,9.4,60000
i20,2012,3.1,6.79,52132
verna,2013,6.15,9.4,45000
verna,2017,9.25,9.4,15001
elantra,2015,11.45,14.79,12900
grand i10,2013,3.9,5.7,53000
grand i10,2015,5.5,5.7,4492
verna,2017,9.1,9.4,15141
eon,2016,3.1,4.43,11849
creta,2015,11.25,13.6,68000
verna,2013,4.8,9.4,60241
eon,2012,2,4.43,23709
verna,2012,5.35,9.4,32322
xcent,2015,4.75,7.13,35866
xcent,2014,4.4,7.13,34000
i20,2016,6.25,7.6,7000
verna,2013,5.95,9.4,49000
verna,2012,5.2,9.4,71000
i20,2012,3.75,6.79,35000
verna,2015,5.95,9.4,36000
i10,2013,4,4.6,30000
i20,2016,5.25,7.6,17000
creta,2016,12.9,13.6,35934
city,2013,5,9.9,56701
brio,2015,5.4,6.82,31427
city,2014,7.2,9.9,48000
city,2013,5.25,9.9,54242
brio,2012,3,5.35,53675
city,2016,10.25,13.6,49562
city,2015,8.5,13.6,40324
city,2015,8.4,13.6,25000
amaze,2014,3.9,7,36054
city,2016,9.15,13.6,29223
brio,2016,5.5,5.97,5600
amaze,2015,4,5.8,40023
jazz,2016,6.6,7.7,16002
amaze,2015,4,7,40026
jazz,2017,6.5,8.7,21200
amaze,2014,3.65,7,35000
city,2016,8.35,9.4,19434
brio,2017,4.8,5.8,19000
city,2015,6.7,10,18828
city,2011,4.1,10,69341
city,2009,3,10,69562
city,2015,7.5,10,27600
jazz,2010,2.25,7.5,61203
brio,2014,5.3,6.8,16500
city,2016,10.9,13.6,30753
city,2015,8.65,13.6,24800
city,2015,9.7,13.6,21780
jazz,2016,6,8.4,4000
city,2014,6.25,13.6,40126
brio,2015,5.25,5.9,14465
city,2006,2.1,7.6,50456
city,2014,8.25,14,63000
city,2016,8.99,11.8,9010
brio,2013,3.5,5.9,9800
jazz,2016,7.4,8.5,15059
jazz,2016,5.65,7.9,28569
amaze,2015,5.75,7.5,44000
city,2015,8.4,13.6,34000
city,2016,10.11,13.6,10980
amaze,2014,4.5,6.4,19000
brio,2015,5.4,6.1,31427
jazz,2016,6.4,8.4,12000
city,2010,3.25,9.9,38000
amaze,2014,3.75,6.8,33019
city,2015,8.55,13.09,60076
city,2016,9.5,11.6,33988
brio,2015,4,5.9,60000
city,2009,3.35,11,87934
city,2017,11.5,12.5,9000
brio,2016,5.3,5.9,5464
